TIMESTAMP,Global BsAs [W/m2],Difusa BsAs [W/m2],Global Ush [W/m2],Difusa Ush [W/m2]
2025-03-19 00:00:00,-1.736,-1.193,-0.602,-0.382
2025-03-19 00:01:00,-1.736,-1.193,-1.205,-0.382
2025-03-19 00:02:00,-1.736,-1.392,-1.004,-0.382
2025-03-19 00:03:00,-1.736,-1.590,-1.004,-0.382
2025-03-19 00:04:00,-1.736,-1.392,-1.004,-0.382
2025-03-19 00:05:00,-1.736,-1.392,-1.004,-0.382
2025-03-19 00:06:00,-1.736,-1.392,-0.803,-0.382
2025-03-19 00:07:00,-1.736,-1.590,-0.803,-0.382
2025-03-19 00:08:00,-1.736,-1.988,-0.602,-0.510
2025-03-19 00:09:00,-1.736,-1.988,-0.803,-0.382
2025-03-19 00:10:00,-1.736,-1.988,-0.803,-0.382
2025-03-19 00:11:00,-1.736,-1.988,-1.004,-0.382
2025-03-19 00:12:00,-1.736,-1.590,-0.803,-0.382
2025-03-19 00:13:00,-1.736,-1.193,-0.602,-0.637
2025-03-19 00:14:00,-1.736,-1.392,-0.402,-0.637
2025-03-19 00:15:00,-1.736,-1.590,-0.602,-0.382
2025-03-19 00:16:00,-1.736,-1.988,-0.803,-0.510
2025-03-19 00:17:00,-1.736,-1.988,-1.004,-0.637
2025-03-19 00:18:00,-1.736,-1.988,-0.402,-0.382
2025-03-19 00:19:00,-1.736,-1.988,-1.004,-0.382
2025-03-19 00:20:00,-1.736,-1.988,-1.205,-0.510
2025-03-19 00:21:00,-1.736,-1.789,-1.205,-0.510
2025-03-19 00:22:00,-1.736,-1.392,-1.406,-0.510
2025-03-19 00:23:00,-1.736,-0.994,-1.406,-0.510
2025-03-19 00:24:00,-1.736,-0.596,-1.406,-0.382
2025-03-19 00:25:00,-1.736,-0.596,-1.406,-0.637
2025-03-19 00:26:00,-1.736,-1.193,-1.205,-0.764
2025-03-19 00:27:00,-1.736,-1.988,-1.406,-0.764
2025-03-19 00:28:00,-1.736,-1.988,-1.406,-0.764
2025-03-19 00:29:00,-1.736,-1.988,-1.406,-0.892
2025-03-19 00:30:00,-1.736,-1.988,-1.004,-0.764
2025-03-19 00:31:00,-1.736,-1.988,-1.205,-0.892
2025-03-19 00:32:00,-1.736,-1.988,-1.004,-0.764
2025-03-19 00:33:00,-1.736,-1.988,-0.803,-0.637
2025-03-19 00:34:00,-1.736,-1.988,-1.205,-0.637
2025-03-19 00:35:00,-1.736,-1.988,-1.205,-0.764
2025-03-19 00:36:00,-1.736,-1.988,-0.803,-0.764
2025-03-19 00:37:00,-1.941,-1.988,-0.402,-0.764
2025-03-19 00:38:00,-2.043,-1.988,-0.803,-0.637
2025-03-19 00:39:00,-2.043,-1.988,-1.004,-0.892
2025-03-19 00:40:00,-1.941,-1.988,-0.803,-0.764
2025-03-19 00:41:00,-1.736,-1.988,-1.205,-0.764
2025-03-19 00:42:00,-1.736,-1.988,-1.004,-0.892
2025-03-19 00:43:00,-1.736,-1.988,-0.803,-0.764
2025-03-19 00:44:00,-1.736,-1.988,-1.004,-0.764
2025-03-19 00:45:00,-1.736,-1.988,-1.004,-0.637
2025-03-19 00:46:00,-1.736,-1.988,-1.004,-0.510
2025-03-19 00:47:00,-1.941,-1.988,-1.205,-0.510
2025-03-19 00:48:00,-2.043,-1.988,-1.004,-0.637
2025-03-19 00:49:00,-2.043,-1.988,-0.803,-0.637
2025-03-19 00:50:00,-2.043,-1.988,-0.201,-0.637
2025-03-19 00:51:00,-2.043,-1.988,0.000,-0.637
2025-03-19 00:52:00,-2.043,-1.988,0.000,-0.764
2025-03-19 00:53:00,-2.043,-1.988,0.000,-0.764
2025-03-19 00:54:00,-2.043,-1.988,0.000,-0.764
2025-03-19 00:55:00,-2.043,-1.988,0.000,-0.637
2025-03-19 00:56:00,-2.043,-1.988,-0.201,-0.637
2025-03-19 00:57:00,-2.043,-1.988,-0.602,-0.637
2025-03-19 00:58:00,-2.043,-1.988,-0.602,-0.764
2025-03-19 00:59:00,-2.043,-1.988,0.000,-0.637
2025-03-19 01:00:00,-2.043,-1.988,0.000,-0.510
2025-03-19 01:01:00,-2.043,-1.988,0.000,-0.510
2025-03-19 01:02:00,-2.043,-1.988,-0.402,-0.510
2025-03-19 01:03:00,-1.839,-1.988,-0.402,-0.382
2025-03-19 01:04:00,-1.736,-1.988,-0.402,-0.637
2025-03-19 01:05:00,-1.736,-1.988,0.000,-0.637
2025-03-19 01:06:00,-1.736,-1.988,0.000,-0.510
2025-03-19 01:07:00,-1.736,-1.988,-0.201,-0.510
2025-03-19 01:08:00,-1.736,-1.988,-0.201,-0.764
2025-03-19 01:09:00,-1.736,-1.988,0.000,-0.764
2025-03-19 01:10:00,-1.736,-1.988,-0.201,-0.637
2025-03-19 01:11:00,-1.736,-1.988,-0.402,-0.764
2025-03-19 01:12:00,-1.736,-1.988,-0.803,-0.892
2025-03-19 01:13:00,-2.043,-1.988,-0.201,-0.892
2025-03-19 01:14:00,-1.941,-1.988,-0.201,-0.764
2025-03-19 01:15:00,-1.736,-1.988,-1.004,-0.764
