TIMESTAMP,Global BsAs [W/m2],Difusa BsAs [W/m2],Global Ush [W/m2],Difusa Ush [W/m2]
2025-05-13 00:00:00,-2.758,-1.988,-0.602,-0.382
2025-05-13 00:01:00,-2.758,-1.988,-0.602,-0.382
2025-05-13 00:02:00,-2.758,-1.988,-0.803,-0.382
2025-05-13 00:03:00,-2.758,-1.988,-0.803,-0.382
2025-05-13 00:04:00,-2.758,-1.988,-0.602,-0.382
2025-05-13 00:05:00,-2.758,-2.584,-1.004,-0.382
2025-05-13 00:06:00,-3.064,-2.584,-1.205,-0.510
2025-05-13 00:07:00,-2.860,-2.386,-1.406,-0.764
2025-05-13 00:08:00,-2.758,-1.988,-1.406,-0.892
2025-05-13 00:09:00,-2.758,-1.988,-1.406,-0.892
2025-05-13 00:10:00,-2.758,-1.988,-1.406,-0.892
2025-05-13 00:11:00,-2.758,-1.988,-1.807,-0.892
2025-05-13 00:12:00,-2.758,-1.988,-2.008,-1.146
2025-05-13 00:13:00,-2.758,-1.988,-2.008,-1.274
2025-05-13 00:14:00,-2.758,-1.988,-2.610,-1.274
2025-05-13 00:15:00,-2.758,-1.988,-2.610,-1.274
2025-05-13 00:16:00,-2.758,-1.988,-2.610,-1.274
2025-05-13 00:17:00,-2.758,-2.187,-2.811,-1.529
2025-05-13 00:18:00,-2.758,-2.386,-3.213,-1.656
2025-05-13 00:19:00,-2.758,-2.584,-3.012,-1.656
2025-05-13 00:20:00,-2.758,-2.783,-2.811,-1.656
2025-05-13 00:21:00,-3.064,-3.380,-2.610,-1.656
2025-05-13 00:22:00,-3.064,-3.380,-2.811,-1.656
2025-05-13 00:23:00,-3.064,-3.380,-2.811,-1.656
2025-05-13 00:24:00,-3.064,-3.380,-3.213,-1.656
2025-05-13 00:25:00,-2.860,-2.982,-3.414,-1.656
2025-05-13 00:26:00,-2.758,-2.584,-3.414,-1.783
2025-05-13 00:27:00,-2.758,-1.988,-3.414,-1.783
2025-05-13 00:28:00,-2.758,-1.988,-3.414,-2.038
2025-05-13 00:29:00,-2.451,-1.988,-3.213,-2.166
2025-05-13 00:30:00,-2.349,-1.988,-2.811,-2.038
2025-05-13 00:31:00,-2.554,-1.988,-2.610,-1.911
2025-05-13 00:32:00,-2.451,-1.988,-2.610,-1.783
2025-05-13 00:33:00,-2.451,-1.988,-2.610,-1.656
2025-05-13 00:34:00,-2.656,-1.988,-2.610,-1.656
2025-05-13 00:35:00,-2.451,-1.988,-2.008,-1.401
2025-05-13 00:36:00,-2.349,-1.988,-2.008,-1.274
2025-05-13 00:37:00,-2.451,-1.988,-2.610,-1.274
2025-05-13 00:38:00,-2.451,-1.988,-2.811,-1.656
2025-05-13 00:39:00,-2.349,-1.988,-3.012,-1.656
2025-05-13 00:40:00,-2.349,-1.988,-3.213,-1.783
2025-05-13 00:41:00,-2.554,-1.988,-3.213,-1.783
2025-05-13 00:42:00,-2.758,-1.988,-3.012,-2.038
2025-05-13 00:43:00,-2.758,-1.988,-2.610,-1.911
2025-05-13 00:44:00,-2.758,-1.988,-2.410,-1.783
2025-05-13 00:45:00,-2.758,-1.988,-2.008,-1.656
2025-05-13 00:46:00,-2.758,-1.988,-1.807,-1.656
2025-05-13 00:47:00,-2.758,-1.988,-1.406,-1.274
2025-05-13 00:48:00,-2.758,-1.988,-1.406,-1.274
2025-05-13 00:49:00,-2.758,-1.988,-1.406,-1.274
2025-05-13 00:50:00,-2.758,-1.988,-1.807,-1.274
2025-05-13 00:51:00,-2.758,-1.988,-2.008,-1.274
2025-05-13 00:52:00,-2.349,-1.988,-2.008,-1.274
2025-05-13 00:53:00,-2.247,-1.988,-2.209,-1.529
2025-05-13 00:54:00,-2.043,-1.988,-2.610,-1.656
2025-05-13 00:55:00,-2.247,-1.988,-2.209,-1.656
2025-05-13 00:56:00,-2.349,-1.988,-2.008,-1.656
2025-05-13 00:57:00,-2.349,-1.988,-1.807,-1.529
2025-05-13 00:58:00,-2.758,-1.988,-2.008,-1.274
2025-05-13 00:59:00,-2.758,-1.988,-2.008,-1.401
2025-05-13 01:00:00,-2.758,-1.988,-2.008,-1.529
2025-05-13 01:01:00,-2.758,-2.187,-2.008,-1.529
2025-05-13 01:02:00,-2.758,-1.988,-2.008,-1.656
2025-05-13 01:03:00,-2.758,-1.988,-2.008,-1.529
2025-05-13 01:04:00,-2.758,-1.988,-2.209,-1.529
2025-05-13 01:05:00,-2.758,-1.988,-2.410,-1.529
2025-05-13 01:06:00,-2.758,-1.988,-2.410,-1.656
2025-05-13 01:07:00,-2.656,-1.988,-2.008,-1.529
2025-05-13 01:08:00,-2.554,-1.988,-2.008,-1.274
2025-05-13 01:09:00,-2.349,-1.988,-2.008,-1.274
2025-05-13 01:10:00,-2.349,-1.988,-2.008,-1.274
2025-05-13 01:11:00,-2.349,-1.988,-2.008,-1.274
2025-05-13 01:12:00,-2.349,-1.988,-2.008,-1.529
2025-05-13 01:13:00,-2.043,-1.988,-1.606,-1.401
2025-05-13 01:14:00,-2.043,-1.988,-1.406,-1.274
2025-05-13 01:15:00,-2.043,-1.988,-1.406,-1.274
2025-05-13 01:16:00,-2.349,-1.988,-1.406,-1.274
2025-05-13 01:17:00,-2.349,-1.988,-1.406,-1.274
2025-05-13 01:18:00,-2.247,-1.988,-1.406,-1.274
2025-05-13 01:19:00,-2.043,-1.988,-1.606,-1.274
2025-05-13 01:20:00,-2.043,-1.988,-2.008,-1.274
2025-05-13 01:21:00,-2.043,-1.988,-2.610,-1.401
2025-05-13 01:22:00,-2.043,-1.988,-2.610,-1.656
2025-05-13 01:23:00,-2.043,-1.988,-2.610,-1.656
2025-05-13 01:24:00,-2.349,-1.988,-2.410,-1.656
2025-05-13 01:25:00,-2.451,-1.988,-2.008,-1.656
2025-05-13 01:26:00,-2.656,-1.988,-1.406,-1.274
2025-05-13 01:27:00,-2.758,-1.988,-1.406,-1.274
2025-05-13 01:28:00,-2.758,-1.988,-1.406,-1.274
2025-05-13 01:29:00,-2.758,-1.988,-1.205,-1.274
2025-05-13 01:30:00,-2.758,-1.988,-1.004,-1.146
2025-05-13 01:31:00,-2.758,-1.988,-1.205,-1.019
2025-05-13 01:32:00,-2.758,-1.988,-1.406,-1.146
2025-05-13 01:33:00,-2.554,-1.988,-1.406,-1.274
2025-05-13 01:34:00,-2.656,-1.988,-1.807,-1.274
2025-05-13 01:35:00,-2.656,-1.988,-2.008,-1.274
2025-05-13 01:36:00,-2.758,-1.988,-2.008,-1.529
2025-05-13 01:37:00,-2.758,-1.988,-2.008,-1.656
2025-05-13 01:38:00,-2.758,-2.386,-1.606,-1.529
2025-05-13 01:39:00,-2.758,-2.584,-1.406,-1.274
2025-05-13 01:40:00,-2.758,-2.584,-1.807,-1.274
2025-05-13 01:41:00,-2.758,-2.584,-1.807,-1.274
2025-05-13 01:42:00,-2.758,-2.584,-1.807,-1.274
2025-05-13 01:43:00,-2.758,-2.783,-2.008,-1.274
2025-05-13 01:44:00,-2.962,-2.982,-2.008,-1.274
2025-05-13 01:45:00,-3.064,-2.982,-2.410,-1.274
2025-05-13 01:46:00,-3.064,-2.584,-2.610,-1.529
2025-05-13 01:47:00,-3.064,-2.584,-2.610,-1.656
